Russia (Arkhan gelsk),"","","","","","","","","","","","","","","","","","","","",""
1995–99,··,"",··,"",··,"",··,"",..,"",..,"",..,"",..,"",..,"",··,"",··
2000–04,21·8,"",35·5,"",27·8,"",7·4,"",14·7,"",62·4,"",56·6,"",37·2,"",63·9,"",34·1,"",··
"",(19·2–24·4),"",(32·3–38·8),"",(23·8–31·7),"",(3·1–11·8),"",(12·6–16·9),"",(58·1–66·6),"",(51·1–62·2),"",(31·2–43·2),"",(54·9–73·0),"",(25·6–42·6),"",""
2005–09,19·9,"",40·6,"",30·4,"",9·4,"",15·7,"",70·6,"",54·9,"",40·4,"",69·6,"",42·0,"",··
"",(17·5–22·3),"",(37·3–43·8),"",(26·2–34·5),"",(4·3–14·5),"",(13·6–17·9),"",(66·4–74·9),"",(49·1–60·6),"",(34·2–46·6),"",(62·1–77·2),"",(31·9–52·2),"",""
Slovakia*,"","","","","","","","","","","","","","","","","","","","",""
1995–99,··,"",··,"",··,"",··,"",··,"",··,"",··,"",··,"",··,"",··,"",··
2000–04,20·2,"",49·7,"",43·4,"",5·1§,"",9·6§,"",74·0,"",61·6,"",34·8,"",62·6,"",41·1,"",78·9
"",(18·8–21·6),"",(48·5–51·0),"",(41·6–45·2),"",(3·4–6·8),"",(8·9–10·4),"",(72·5–75·6),"",(59·2–64·0),"",(32·3–37·4),"",(60·3–64·9),"",(38·3–43·8),"",(71·6–86·2)
2005–09,19·7,"",49·9,"",44·0,"",5·3§,"",10·7§,"",72·1,"",58·8,"",33·9,"",66·0,"",37·2,"",78·2
"",(17·9–21·4),"",(48·3–51·5),"",(41·6–46·3),"",(3·1–7·4),"",(9·7–11·7),"",(70·3–73·9),"",(56·0–61·6),"",(30·9–36·9),"",(63·2–68·8),"",(34·1–40·3),"",(69·5–87·0)
Slovenia*,"","","","","","","","","","","","","","","","","","","","",""
1995–99,20·1,"",45·1,"",40·5,"",3·0,"",8·5,"",71·3,"",62·9,"",33·4,"",61·1,"",44·3,"",83·1
