Japanese registries,"","","","","","","","","","","","","","","","","","","","",""
1995–99,51.7,"",61.4,"",56.6,"",21.4,"",22.9,"",81.8,"",65.7,"",26.3,"",65.7,"",12.1,"",77.5
"",(51.2–52.2),"",(60.7–62.1),"",(55.5–57.6),"",(19.5–23.3),"",(21.5–24.3),"",(80.8–82.9),"",(64.1–67.3),"",(24.2–28.4),"",(63.4–67.9),"",(10.0–14.2),"",(72.4–82.6)
2000–04,53.6,"",62.2,"",57.8,"",26.4,"",28.5,"",84.2,"",65.1,"",33.1,"",83.4,"",17.9,"",77.8
"",(53.2–54.1),"",(61.6–62.7),"",(57.0–58.7),"",(24.3–28.5),"",(27.5–29.5),"",(83.5–84.8),"",(63.9–66.4),"",(31.3–34.8),"",(82.4–84.5),"",(16.5–19.4),"",(72.8–82.8)
2005–09,54.0,"",64.4,"",60.3,"",27.0,"",30.1,"",84.7,"",66.3,"",37.3,"",86.8,"",18.9,"",81.1
"",(53.6–54.5),"",(63.9–64.9),"",(59.6–61.1),"",(25.5–28.4),"",(29.1–31.0),"",(84.1–85.3),"",(65.2–67.5),"",(35.6–38.9),"",(86.0–87.7),"",(17.6–20.3),"",(76.8–85.4)
Jordan*,"","","","","","","","","","","","","","","","","","","","",""
1995–99,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA
2000–04,48.2§,"",53.0§,"",26.3§,"",22.9§,"",7.7§,"",57.6§,"",17.1§,"",17.2§,"",35.5§,"",6.9§,"",15.1§
"",(31.7–64.8),"",(40.1–65.8),"",(11.8–40.9),"",(5.2–40.6),"",(4.3–11.2),"",(46.4–68.8),"",(3.1–31.0),"",(6.9–27.5),"",(23.8–47.2),"",(0.0–15.8),"",(6.4–23.8)
2005–09,28.8§,"",48.1§,"",21.4§,"",17.1§,"",4.4§,"",43.1§,"",10.3§,"",8.0§,"",27.4§,"",7.1§,"",16.4§
"",(14.6–43.0),"",(35.0–61.3),"",(9.6–33.2),"",(3.2–31.1),"",(2.0–6.8),"",(31.2–55.0),"",(0.0–21.8),"",(2.9–13.2),"",(16.3–38.5),"",(0.0–16.3),"",(6.8–26.0)
Korea*‡,"","","","","","","","","","","","","","","","","","","","",""
1995–99,32.8,"",42.5,"",51.6,"",10.8,"",9.6,"",76.7,"",73.7,"",42.1,"",63.7,"",15.4,"",62.9
"",(32.5–33.1),"",(41.9–43.1),"",(50.5–52.8),"",(10.4–11.3),"",(9.4–9.9),"",(74.4–78.9),"",(72.8–74.6),"",(39.6–44.6),"",(61.5–65.9),"",(13.9–17.0),"",(60.1–65.7)
2000–04,41.0,"",60.4,"",60.8,"",15.2,"",15.2,"",79.6,"",70.0,"",43.3,"",75.8,"",18.8,"",72.8
"",(40.8–41.3),"",(59.8–61.1),"",(60.0–61.5),"",(14.9–15.6),"",(14.9–15.5),"",(78.1–81.0),"",(69.5–70.6),"",(41.5–45.1),"",(74.4–77.3),"",(17.6–20.0),"",(70.3–75.4)
2005–09,57.9,"",66.0,"",65.9,"",20.1,"",18.5,"",82.7,"",77.1,"",44.2,"",82.2,"",23.4,"",77.1
"",(57.5–58.2),"",(65.4–66.6),"",(65.2–66.6),"",(19.8–20.5),"",(18.2–18.8),"",(81.4–84.0),"",(76.4–77.8),"",(42.6–45.8),"",(81.1–83.3),"",(22.2–24.6),"",(74.7–79.5)
Malaysia (Penang),"","","","","","","","","","","","","","","","","","","","",""
1995–99,34.3,"",52.4,"",48.3,"",10.3,"",15.1,"",64.8,"",54.6,"",44.7,"",62.4,"",16.0,"",77.3
"",(27.9–40.7),"",(46.1–58.7),"",(38.4–58.2),"",(5.7–14.9),"",(12.1–18.0),"",(56.8–72.9),"",(48.6–60.5),"",(30.0–59.3),"",(52.0–72.8),"",(3.6–28.4),"",(65.5–89.2)
2000–04,26.5,"",47.9,"",38.7,"",19.2,"",13.1,"",71.1,"",58.4,"",42.5,"",57.8,"",25.2,"",68.7
"",(20.9–32.1),"",(42.7–53.1),"",(32.1–45.2),"",(12.1–26.3),"",(10.6–15.6),"",(64.3–78.0),"",(53.0–63.7),"",(30.3–54.6),"",(48.3–67.3),"",(13.4–37.1),"",(56.5–81.0)
2005–09,24.2,"",53.3,"",42.5,"",13.3,"",10.7,"",67.8,"",55.2,"",42.9,"",66.4,"",12.1,"",69.4
"",(19.6–28.8),"",(48.7–57.9),"",(36.3–48.7),"",(9.3–17.4),"",(8.6–12.7),"",(62.4–73.3),"",(50.2–60.2),"",(33.6–52.1),"",(57.8–74.9),"",(7.4–16.9),"",(57.4–81.5)
Mongolia*,"","","","","","","","","","","","","","","","","","","","",""
1995–99,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA
2000–04,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA
2005–09,15.1,"",30.6,"",15.9,"",8.5,"",6.6,"",56.5,"",59.5,"",52.1,"",39.6,"",35.6,"",34.3
"",(12.6–17.6),"",(22.5–38.8),"",(0.9–30.8),"",(6.9–10.0),"",(4.1–9.1),"",(46.1–66.8),"",(53.3–65.8),"",(39.7–64.5),"",(17.2–61.9),"",(23.7–47.5),"",(11.9–56.8)
