Latvia*,"","","","","","","","","","","","","","","","","","","","",""
1995–99,21·3,"",40·9,"",34·1,"",7·2§,"",12·1,"",64·1,"",52·9,"",30·6,"",51·9,"",44·6,"",··
"",(19·7–22·9),"",(38·5–43·3),"",(31·1–37·0),"",(4·4–9·9),"",(10·8–13·3),"",(61·7–66·6),"",(49·2–56·6),"",(28·0–33·2),"",(47·8–56·0),"",(40·4–48·9),"",""
2000–04,20·7,"",42·4,"",36·4,"",7·2§,"",13·8,"",69·8,"",51·7,"",35·7,"",65·3,"",43·1,"",··
"",(19·0–22·5),"",(40·1–44·8),"",(33·6–39·2),"",(4·3–10·0),"",(12·6–15·1),"",(67·5–72·1),"",(48·0–55·4),"",(32·9–38·6),"",(62·2–68·5),"",(38·9–47·2),"",""
2005–09,22·8,"",45·3,"",38·6,"",6·4§,"",16·2,"",71·1,"",55·4,"",35·6,"",73·9,"",54·5,"",75·0
"",(21·0–24·6),"",(43·0–47·7),"",(35·6–41·5),"",(4·0–8·8),"",(14·9–17·6),"",(68·9–73·4),"",(51·9–59·0),"",(32·9–38·4),"",(71·0–76·8),"",(49·5–59·4),"",(64·3–85·8)
Lithuania*,"","","","","","","","","","","","","","","","","","","","",""
1995–99,24·4,"",48·0,"",40·3,"",5·4§,"",10·0,"",65·3,"",53·2,"",33·2,"",51·8,"",36·6,"",59·5
"",(22·7–26·1),"",(45·2–50·7),"",(37·4–43·2),"",(2·3–8·4),"",(8·7–11·3),"",(62·6–68·0),"",(50·5–55·9),"",(29·7–36·8),"",(48·5–55·2),"",(33·6–39·7),"",(49·4–69·6)
2000–04,25·6,"",51·6,"",44·7,"",9·5§,"",8·3,"",70·3,"",57·0,"",33·0,"",81·2,"",39·5,"",72·6
"",(24·0–27·2),"",(49·4–53·9),"",(42·2–47·2),"",(6·2–12·9),"",(7·4–9·2),"",(68·3–72·3),"",(54·5–59·5),"",(30·5–35·6),"",(79·0–83·4),"",(36·8–42·2),"",(63·5–81·7)
2005–09,26·0,"",51·5,"",48·3,"",11·3§,"",7·7,"",72·1,"",61·3,"",35·8,"",92·4,"",44·7,"",69·6
"",(24·3–27·7),"",(49·4–53·7),"",(45·8–50·9),"",(7·3–15·2),"",(6·8–8·7),"",(70·2–74·1),"",(58·8–63·8),"",(33·1–38·6),"",(90·6–94·1),"",(41·9–47·4),"",(59·1–80·1)
Malta*,"","","","","","","","","","","","","","","","","","","","",""
1995–99,17·5,"",49·3,"",49·8,"",··,"",10·9,"",71·3,"",58·8,"",34·2,"",68·6,"",38·6,"",..
"",(11·9–23·1),"",(43·1–55·4),"",(40·9–58·8),"","","",(8·0–13·8),"",(67·1–75·5),"",(44·7–72·9),"",(25·9–42·6),"",(61·0–76·1),"",(30·7–46·4),"",""
2000–04,15·5,"",57·6,"",51·4,"",10·8,"",9·3,"",76·3,"",52·8,"",37·9,"",82·7,"",24·2,"",..
"",(10·7–20·2),"",(52·4–62·7),"",(43·9–59·0),"",(4·5–17·1),"",(6·3–12·3),"",(72·4–80·2),"",(37·9–67·6),"",(30·2–45·5),"",(76·9–88·6),"",(16·8–31·7),"",""
2005–09,18·0,"",56·0,"",48·1,"",9·5,"",10·8,"",76·3,"",63·1,"",33·1,"",84·8,"",19·0,"",72·5
"",(12·8–23·2),"",(51·2–60·8),"",(41·0–55·2),"",(6·5–12·4),"",(8·0–13·6),"",(72·7–79·9),"",(49·3–76·9),"",(27·2–39·0),"",(79·9–89·7),"",(12·8–25·3),"",(59·5–85·4)
Nether lands*,"","","","","","","","","","","","","","","","","","","","",""
1995–99,19·0,"",55·4,"",55·5,"",8·2,"",12·4,"",80·0,"",63·9,"",38·7,"",77·4,"",46·9,"",..
"",(18·1–19·8),"",(54·7–56·1),"",(54·3–56·6),"",(6·7–9·8),"",(12·1–12·8),"",(79·4–80·6),"",(62·0–65·7),"",(37·5–39·9),"",(76·5–78·3),"",(45·4–48·3),"",""
2000–04,19·5,"",57·7,"",57·7,"",9·7,"",12·2,"",83·5,"",65·7,"",37·3,"",82·7,"",48·4,"",84·5
"",(18·6–20·4),"",(57·0–58·3),"",(56·7–58·8),"",(8·2–11·3),"",(11·9–12·6),"",(83·0–84·1),"",(63·8–67·6),"",(36·0–38·5),"",(82·0–83·4),"",(47·1–49·8),"",(80·8–88·1)
2005–09,21·4,"",60·1,"",62·0,"",12·6,"",14·8,"",85·0,"",66·5,"",38·1,"",85·8,"",51·8,"",85·9
"",(20·5–22·4),"",(59·5–60·7),"",(61·0–63·0),"",(10·8–14·3),"",(14·4–15·1),"",(84·5–85·5),"",(64·6–68·4),"",(36·8–39·3),"",(85·2–86·4),"",(50·5–53·1),"",(82·7–89·2)
Norway*,"","","","","","","","","","","","","","","","","","","","",""
1995–99,21·1,"",55·9,"",57·8,"",5·6,"",10·7,"",81·5,"",66·7,"",36·7,"",73·8,"",44·6,"",79·1
"",(19·4–22·9),"",(54·6–57·2),"",(56·1–59·5),"",(3·4–7·8),"",(10·0–11·5),"",(80·3–82·6),"",(64·1–69·4),"",(34·7–38·8),"",(72·5–75·1),"",(41·9–47·3),"",(71·4–86·8)
