2005–09 ,18·7 ,37·3 ,29·4 ,4·3 ,9·6 ,60·4 ,45·8 ,13·9§ ,58·1 ,6·0§ ,64·7
"",(9·3–28·2) ,(26·7–48·0) ,(17·5–41·3) ,(0·0–9·4) ,(4·7–14·5) ,(46·5–74·3) ,(34·9–56·7) ,(6·8–21·0) ,(38·3–77·8) ,(0·3–11·6) ,(50·1–79·2)
Indonesia (Jakarta),"","","","","","","","","","",""
1995–99 ,·· ,·· ,·· ,·· ,·· ,·· ,·· ,·· ,·· ,·· ,··
2000–04 ,·· ,·· ,·· ,·· ,·· ,·· ,·· ,·· ,·· ,·· ,··
2005–09 ,18·4 ,28·1 ,58·0 ,19·9 ,12·2§ ,77·7 ,65·1§ ,39·9§ ,43·5 ,39·8 ,44·3
"",(0·0–40·5) ,(18·8–37·3) ,(38·3–77·8) ,(4·3–35·5) ,(1·1–23·3) ,(65·3–90·2) ,(55·8–74·3) ,(27·0–52·8) ,(1·1–85·9) ,(20·1–59·4) ,(13·4–75·3)
Israel*,"","","","","","","","","","",""
1995–99 ,26·5 ,60·0 ,56·8 ,8·2§ ,17·3 ,80·9 ,62·5 ,38·9 ,85·0 ,43·7 ,82·3
"",(24·8–28·3) ,(58·8–61·2) ,(54·6–59·0) ,(6·0–10·4) ,(16·3–18·3) ,(79·8–81·9) ,(58·7–66·2) ,(36·3–41·4) ,(83·4–86·6) ,(41·5–45·9) ,(76·5–88·1)
2000–04 ,29·3 ,66·2 ,62·5 ,14·7§ ,20·7 ,85·5 ,65·8 ,40·5 ,91·9 ,54·5 ,84·7
"",(27·5–31·0) ,(65·1–67·3) ,(60·5–64·6) ,(11·9–17·6) ,(19·7–21·7) ,(84·5–86·5) ,(62·4–69·2) ,(38·2–42·8) ,(90·8–93·0) ,(52·4–56·7) ,(80·0–89·5)
2005–09 ,28·6 ,69·4 ,66·6 ,14·2§ ,23·8 ,86·7 ,65·9 ,42·0 ,94·0 ,50·4 ,85·0
"",(26·9–30·3) ,(68·3–70·4) ,(64·5–68·6) ,(11·6–16·7) ,(22·8–24·9) ,(85·8–87·7) ,(62·6–69·3) ,(39·7–44·4) ,(93·0–95·0) ,(48·4–52·4) ,(80·5–89·4)
